feature,importance
temp_lag_1,39535.51953125
temp_lag_3,25046.669921875
temp_lag_24,4582.99658203125
hour_cos,2756.675537109375
doy_cos,1118.2679443359375
pressure_lag_6,660.4893188476562
doy_sin,306.8946533203125
clouds_all_lag_6,295.6719055175781
wind_speed_lag_6,274.11614990234375
hour_sin,269.7041320800781
temp_lag_6,214.0492706298828
pressure_lag_24,195.9375762939453
temp_lag_12,181.61419677734375
humidity_lag_6,135.91384887695312
