rank,model,validation_mae,validation_rmse,skill_vs_naive
1,XGBoost Basic,2.2182295775076284,2.805191896446468,0.016207180061971194
2,CNN 1D,2.237070766647875,2.8258204047771573,0.007851044708255595
3,LSTM,2.239569857381335,2.835418488295103,0.006742688952439679
4,Linear Regression,2.2531768234456813,2.8459222536277067,0.0007079504154642313
5,Naive Persistence,2.254773090992227,2.9427300593720727,0.0
6,Vanilla RNN,2.255122286380291,2.855538617619636,-0.0001548694143367335
